trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'e': 0.70588, 'a': 0.38}",25,0,-99.03256639470278,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
172,False,"{'e': 0.70244, 'a': 0.38}",20,0,-31.398953972878225,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
173,False,"{'e': 0.6989799999999999, 'a': 0.38}",20,0,-5.172010203615624,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
174,False,"{'e': 0.6954999999999999, 'a': 0.38}",20,13,-20.101099625202334,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
175,False,"{'e': 0.692, 'a': 0.38}",20,2,-115.37945455599015,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 2}",1
176,False,"{'e': 0.68848, 'a': 0.38}",25,0,-79.25766969331275,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
177,False,"{'e': 0.68494, 'a': 0.38}",20,0,-195.88536092017594,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
178,False,"{'e': 0.68138, 'a': 0.38}",25,16,-8.949311600317419,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
179,False,"{'e': 0.6778, 'a': 0.38}",25,2,-1.7515273330007834,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
180,False,"{'e': 0.6741999999999999, 'a': 0.38}",20,0,-65.51470303068606,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
181,False,"{'e': 0.67058, 'a': 0.38}",25,0,-97.03816872203815,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
182,False,"{'e': 0.66694, 'a': 0.38}",20,8,-13.41056332031738,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
183,False,"{'e': 0.66328, 'a': 0.38}",30,0,-96.31323753500865,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
184,False,"{'e': 0.6596, 'a': 0.38}",25,0,-34.07280520842089,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
185,False,"{'e': 0.6558999999999999, 'a': 0.38}",25,0,6.345596146333108,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
186,False,"{'e': 0.65218, 'a': 0.38}",20,6,-15.764317285269573,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'e': 0.64844, 'a': 0.38}",20,0,-19.924009468972553,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
188,False,"{'e': 0.64468, 'a': 0.38}",20,4,-72.76244885765091,"{0: 9, 1: 1, 2: 4, 3: 2, 4: 0}",1
